숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/1292966583584671349?search_mode=regular_search&adults=1&check_in=2025-05-08&check_out=2025-05-13&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3ro_38P_L_66q7z&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,5.0,airbnb_images\숙소_28.jpg
https://www.airbnb.co.kr/rooms/1385265707721345379?search_mode=regular_search&adults=1&check_in=2025-05-04&check_out=2025-05-09&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3aIHVUjxbiUQYPH&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,3.0,airbnb_images\숙소_29.jpg
https://www.airbnb.co.kr/rooms/1330128525132398464?search_mode=regular_search&adults=1&check_in=2025-05-13&check_out=2025-05-18&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3kBnCqCmOoHHx93&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.95,22.0,airbnb_images\숙소_30.jpg
https://www.airbnb.co.kr/rooms/1354797871489050137?search_mode=regular_search&adults=1&check_in=2025-07-22&check_out=2025-07-27&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P32WEip1_SKDFBVj&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,5.0,11.0,airbnb_images\숙소_31.jpg
https://www.airbnb.co.kr/rooms/1378663247382889604?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3wQd1y-5DNwNQhQ&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,,2.0,airbnb_images\숙소_32.jpg
https://www.airbnb.co.kr/rooms/41394634?search_mode=regular_search&adults=1&check_in=2025-05-11&check_out=2025-05-16&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3A_ooQ4DzDOMaXn&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.81,196.0,airbnb_images\숙소_33.jpg
https://www.airbnb.co.kr/rooms/1240410075235029899?search_mode=regular_search&adults=1&check_in=2025-05-18&check_out=2025-05-23&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3w14jgUQifMiLCd&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.94,34.0,airbnb_images\숙소_34.jpg
https://www.airbnb.co.kr/rooms/1235373370497621878?search_mode=regular_search&adults=1&check_in=2025-04-13&check_out=2025-04-18&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P30lZOwEsh0RTzM-&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,4.98,50.0,airbnb_images\숙소_35.jpg
https://www.airbnb.co.kr/rooms/1388914627029134463?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545557_P3BtmeED547OOsYS&previous_page_section_name=1000&federated_search_id=54ffb7e9-9c8b-48e2-8f20-826e57ec6fc3,,2.0,airbnb_images\숙소_36.jpg
https://www.airbnb.co.kr/rooms/818371658007723468?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545688_P3-xzd-R19Yjdhvl&previous_page_section_name=1000&federated_search_id=bde520c3-d706-4fa5-8946-8485b133ada1,4.84,57.0,airbnb_images\숙소_37.jpg
